,Dan,Lokacija,Mesec,SifraCesteNaselja,SifraOdsekaUlice,StanjePrometa,StanjeVozisca,UraPN,VNaselju,VremenskeOkoliscine,VrstaCeste,VrstaVozisca
0,22.0,C,22.0,2401,0,E,SU,22.0,0.0,J,L,AH
1,3.0,N,3.0,2407,1,R,MO,3.0,1.0,O,0,AZ
2,10.0,,10.0,2500,2,N,SL,10.0,,S,H,MA
3,17.0,,17.0,2533,3,G,SN,17.0,,M,2,OS
4,11.0,,11.0,2541,4,Z,SP,11.0,,D,3,AN
5,6.0,,6.0,2546,5,,OS,6.0,,N,4,
6,14.0,,14.0,2574,6,,PN,14.0,,V,1,
7,9.0,,9.0,2621,7,,PP,9.0,,T,5,
8,13.0,,13.0,2625,8,,BL,13.0,,,T,
9,18.0,,18.0,9578,9,,,18.0,,,V,
10,8.0,,8.0,9580,10,,,8.0,,,N,
11,0.0,,0.0,18952,11,,,0.0,,,,
12,5.0,,5.0,18956,12,,,5.0,,,,
13,12.0,,12.0,18958,13,,,12.0,,,,
14,20.0,,20.0,18963,14,,,20.0,,,,
15,16.0,,16.0,18967,15,,,16.0,,,,
16,15.0,,15.0,18968,16,,,15.0,,,,
17,7.0,,7.0,18969,17,,,7.0,,,,
18,23.0,,23.0,18974,18,,,23.0,,,,
19,19.0,,19.0,18975,19,,,19.0,,,,
20,21.0,,21.0,18977,20,,,21.0,,,,
21,1.0,,1.0,18978,21,,,1.0,,,,
22,2.0,,2.0,18979,22,,,2.0,,,,
23,4.0,,4.0,18981,23,,,4.0,,,,
24,,,,18982,24,,,,,,,
25,,,,18985,25,,,,,,,
26,,,,18989,26,,,,,,,
27,,,,18993,27,,,,,,,
28,,,,18995,28,,,,,,,
29,,,,35555,29,,,,,,,
30,,,,41112,30,,,,,,,
31,,,,47509,31,,,,,,,
32,,,,47511,32,,,,,,,
33,,,,47532,33,,,,,,,
34,,,,47533,34,,,,,,,
35,,,,53977,35,,,,,,,
36,,,,53996,36,,,,,,,
37,,,,78011,37,,,,,,,
38,,,,91122,38,,,,,,,
39,,,,91230,39,,,,,,,
40,,,,91234,40,,,,,,,
41,,,,91253,41,,,,,,,
42,,,,91258,42,,,,,,,
43,,,,92113,43,,,,,,,
44,,,,92123,44,,,,,,,
45,,,,92144,45,,,,,,,
46,,,,92222,46,,,,,,,
47,,,,92603,47,,,,,,,
48,,,,92755,48,,,,,,,
49,,,,92759,49,,,,,,,
50,,,,92763,50,,,,,,,
51,,,,92766,51,,,,,,,
52,,,,92770,52,,,,,,,
53,,,,92771,53,,,,,,,
54,,,,92801,54,,,,,,,
55,,,,92802,55,,,,,,,
56,,,,92807,56,,,,,,,
57,,,,92808,57,,,,,,,
58,,,,92809,58,,,,,,,
59,,,,92811,60,,,,,,,
60,,,,92813,61,,,,,,,
61,,,,92814,62,,,,,,,
62,,,,92815,65,,,,,,,
63,,,,92816,66,,,,,,,
64,,,,92818,67,,,,,,,
65,,,,92819,68,,,,,,,
66,,,,92821,69,,,,,,,
67,,,,92824,71,,,,,,,
68,,,,92830,72,,,,,,,
69,,,,93004,85,,,,,,,
70,,,,93017,86,,,,,,,
71,,,,93101,87,,,,,,,
72,,,,93103,88,,,,,,,
73,,,,93112,89,,,,,,,
74,,,,93125,90,,,,,,,
75,,,,93132,91,,,,,,,
76,,,,93219,92,,,,,,,
77,,,,93333,93,,,,,,,
78,,,,93336,101,,,,,,,
79,,,,93421,102,,,,,,,
80,,,,93425,103,,,,,,,
81,,,,93509,105,,,,,,,
82,,,,93544,106,,,,,,,
83,,,,93810,107,,,,,,,
84,,,,93829,108,,,,,,,
85,,,,93831,109,,,,,,,
86,,,,93902,110,,,,,,,
87,,,,94001,111,,,,,,,
88,,,,94040,113,,,,,,,
89,,,,94202,115,,,,,,,
90,,,,94204,116,,,,,,,
91,,,,94206,117,,,,,,,
92,,,,94208,118,,,,,,,
93,,,,94209,119,,,,,,,
94,,,,94212,121,,,,,,,
95,,,,94213,123,,,,,,,
96,,,,94214,124,,,,,,,
97,,,,94218,127,,,,,,,
98,,,,94601,128,,,,,,,
99,,,,94704,129,,,,,,,
100,,,,94706,132,,,,,,,
101,,,,94900,133,,,,,,,
102,,,,94901,134,,,,,,,
103,,,,94902,136,,,,,,,
104,,,,94903,137,,,,,,,
105,,,,94905,138,,,,,,,
106,,,,94911,139,,,,,,,
107,,,,94915,142,,,,,,,
108,,,,94918,144,,,,,,,
109,,,,94920,145,,,,,,,
110,,,,94924,146,,,,,,,
111,,,,94931,147,,,,,,,
112,,,,94996,148,,,,,,,
113,,,,95111,149,,,,,,,
114,,,,95401,151,,,,,,,
115,,,,95447,154,,,,,,,
116,,,,95504,155,,,,,,,
117,,,,95521,157,,,,,,,
118,,,,95533,158,,,,,,,
119,,,,95539,159,,,,,,,
120,,,,95540,161,,,,,,,
121,,,,95561,163,,,,,,,
122,,,,95573,167,,,,,,,
123,,,,95604,168,,,,,,,
124,,,,95605,170,,,,,,,
125,,,,95606,175,,,,,,,
126,,,,95607,178,,,,,,,
127,,,,95609,179,,,,,,,
128,,,,95610,180,,,,,,,
129,,,,95612,182,,,,,,,
130,,,,95615,184,,,,,,,
131,,,,95625,186,,,,,,,
132,,,,95626,187,,,,,,,
133,,,,95631,188,,,,,,,
134,,,,95634,195,,,,,,,
135,,,,95635,201,,,,,,,
136,,,,95636,202,,,,,,,
137,,,,95639,203,,,,,,,
138,,,,95642,204,,,,,,,
139,,,,95646,205,,,,,,,
140,,,,95647,206,,,,,,,
141,,,,95649,207,,,,,,,
142,,,,95652,208,,,,,,,
143,,,,95653,210,,,,,,,
144,,,,95676,211,,,,,,,
145,,,,95677,212,,,,,,,
146,,,,95680,213,,,,,,,
147,,,,95683,215,,,,,,,
148,,,,95684,220,,,,,,,
149,,,,95686,221,,,,,,,
150,,,,95689,223,,,,,,,
151,,,,95693,224,,,,,,,
152,,,,95705,231,,,,,,,
153,,,,95713,232,,,,,,,
154,,,,95731,233,,,,,,,
155,,,,95743,235,,,,,,,
156,,,,95745,236,,,,,,,
157,,,,95758,237,,,,,,,
158,,,,95761,238,,,,,,,
159,,,,95772,239,,,,,,,
160,,,,95774,240,,,,,,,
161,,,,95819,241,,,,,,,
162,,,,95841,242,,,,,,,
163,,,,95852,243,,,,,,,
164,,,,95872,244,,,,,,,
165,,,,96105,245,,,,,,,
166,,,,96123,246,,,,,,,
167,,,,96132,247,,,,,,,
168,,,,96409,248,,,,,,,
169,,,,96710,249,,,,,,,
170,,,,96718,250,,,,,,,
171,,,,96734,252,,,,,,,
172,,,,96809,254,,,,,,,
173,,,,96812,255,,,,,,,
174,,,,96816,256,,,,,,,
175,,,,96819,257,,,,,,,
176,,,,96832,258,,,,,,,
177,,,,96833,261,,,,,,,
178,,,,96837,262,,,,,,,
179,,,,96838,263,,,,,,,
180,,,,96866,264,,,,,,,
181,,,,96867,265,,,,,,,
182,,,,96868,266,,,,,,,
183,,,,97027,267,,,,,,,
184,,,,97058,268,,,,,,,
185,,,,97099,273,,,,,,,
186,,,,97106,274,,,,,,,
187,,,,97113,275,,,,,,,
188,,,,97161,276,,,,,,,
189,,,,97203,277,,,,,,,
190,,,,97220,278,,,,,,,
191,,,,97317,280,,,,,,,
192,,,,97326,281,,,,,,,
193,,,,97425,282,,,,,,,
194,,,,97435,286,,,,,,,
195,,,,97438,287,,,,,,,
196,,,,97448,290,,,,,,,
197,,,,97450,291,,,,,,,
198,,,,97465,292,,,,,,,
199,,,,97480,293,,,,,,,
200,,,,97503,294,,,,,,,
201,,,,97504,295,,,,,,,
202,,,,97515,300,,,,,,,
203,,,,97516,301,,,,,,,
204,,,,97519,303,,,,,,,
205,,,,97714,304,,,,,,,
206,,,,97720,305,,,,,,,
207,,,,97727,306,,,,,,,
208,,,,97751,307,,,,,,,
209,,,,97772,308,,,,,,,
210,,,,97777,309,,,,,,,
211,,,,97806,311,,,,,,,
212,,,,97901,312,,,,,,,
213,,,,97912,313,,,,,,,
214,,,,97917,314,,,,,,,
215,,,,97934,315,,,,,,,
216,,,,97940,316,,,,,,,
217,,,,97955,318,,,,,,,
218,,,,98207,320,,,,,,,
219,,,,98208,321,,,,,,,
220,,,,98225,322,,,,,,,
221,,,,98227,326,,,,,,,
222,,,,98229,327,,,,,,,
223,,,,98230,328,,,,,,,
224,,,,98231,330,,,,,,,
225,,,,98245,331,,,,,,,
226,,,,98246,332,,,,,,,
227,,,,98249,333,,,,,,,
228,,,,98250,334,,,,,,,
229,,,,98253,335,,,,,,,
230,,,,98266,336,,,,,,,
231,,,,99000,338,,,,,,,
232,,,,99071,339,,,,,,,
233,,,,99474,340,,,,,,,
234,,,,99719,341,,,,,,,
235,,,,99906,343,,,,,,,
236,,,,99922,344,,,,,,,
237,,,,99989,345,,,,,,,
238,,,,99990,346,,,,,,,
239,,,,99999,347,,,,,,,
240,,,,000A2,349,,,,,,,
241,,,,91231,350,,,,,,,
242,,,,000A1,351,,,,,,,
243,,,,000H2,352,,,,,,,
244,,,,000A3,353,,,,,,,
245,,,,000H3,354,,,,,,,
246,,,,104,355,,,,,,,
247,,,,000A4,356,,,,,,,
248,,,,000A5,357,,,,,,,
249,,,,201,359,,,,,,,
250,,,,452,360,,,,,,,
251,,,,412,361,,,,,,,
252,,,,211,362,,,,,,,
253,,,,8,363,,,,,,,
254,,,,106,364,,,,,,,
255,,,,448,366,,,,,,,
256,,,,101,367,,,,,,,
